Year,Month,Day,Hours,Minutes,Seconds,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral Eclipse Duration (m)
0094,12,10,19,4,29,9601,-23563,75,5,-0.5842,1.8186,0.754,23,113,334.2
0095,6,6,17,43,22,9596,-23557,80,5,0.9761,1.0685,0.0653,-22,133,268.5
0095,10,31,16,4,1,9592,-23552,47,1,1.4941,0.107,-0.8744,15,155,88.2
0095,11,30,3,48,43,9592,-23551,85,1,-1.2282,0.6079,-0.3992,20,-19,206.2
0096,4,26,9,26,31,9588,-23546,52,4,-1.0177,1.0262,-0.0444,-14,-103,285.9
0096,10,20,7,46,6,9583,-23540,57,5,0.8257,1.327,0.3583,11,-80,270.6
0097,4,15,10,3,20,9578,-23534,62,7,-0.2619,2.4082,1.3469,-9,-111,363.9
0097,10,9,22,20,4,9574,-23528,67,8,0.1548,2.5741,1.5739,6,62,332.3
0098,4,4,15,36,48,9569,-23522,72,5,0.5004,1.9469,0.9329,-5,167,328.2
0098,9,29,7,22,36,9564,-23516,77,5,-0.5804,1.8203,0.7661,1,-73,333.4
0099,2,23,19,27,49,9561,-23511,44,1,-1.3845,0.2976,-0.6628,9,112,142.5
0099,3,25,4,10,45,9560,-23510,82,1,1.2008,0.6377,-0.3289,0,-21,205.1
0099,9,18,9,25,31,9555,-23504,87,1,-1.3209,0.4794,-0.6102,-4,-103,207.3
0100,2,13,11,43,2,9551,-23499,54,5,-0.7131,1.5343,0.5642,13,-132,286.4
0100,8,7,18,24,40,9547,-23493,59,5,0.8618,1.2989,0.2548,-16,124,300.6
0101,2,2,0,51,22,9542,-23487,64,7,-0.0181,2.8344,1.8153,17,31,342.7
0101,7,28,3,30,19,9537,-23481,69,8,0.0728,2.7174,1.7313,-20,-12,334.2
0102,1,22,7,5,5,9533,-23475,74,5,0.7199,1.5761,0.4987,21,-63,327.5
0102,7,17,18,43,31,9528,-23469,79,5,-0.6619,1.6167,0.6695,-22,119,287.8
